call,REGN,FORST,DIST,VAR,SPEC,PROD,VOLEQ,DBHOB,HTTOT,HTTYPE,MTOPP,MTOPS,STUMP,HT1PRD,HT2PRD,UPSHT1,UPSD1,HTREF,FCLASS,DBTBH,BTR,CTYPE,LIVE,CONSPEC,FIASPCD,CR,CULL,DECAYCD,BRKHT,BRKHTD,HTUP,STEMDIB,MRULEMOD,NEWMAXLEN,NEWMINLEN,NEWTRIM,note,BUILD,ERRFLAG,VOLEQ_OUT,MRULEMOD_AFTER,VOL1,VOL2,VOL3,VOL4,VOL5,VOL6,VOL7,VOL8,VOL9,VOL10,VOL11,VOL12,VOL13,VOL14,VOL15,TLOGS,NOLOGP,NOLOGS,DIB,DOB,STEMHT,DRYBIO1,DRYBIO2,DRYBIO3,DRYBIO4,DRYBIO5,DRYBIO6,DRYBIO7,DRYBIO8,DRYBIO9,DRYBIO10,DRYBIO11,DRYBIO12,DRYBIO13,DRYBIO14,DRYBIO15,GRNBIO1,GRNBIO2,GRNBIO3,GRNBIO4,GRNBIO5,GRNBIO6,GRNBIO7,GRNBIO8,GRNBIO9,GRNBIO10,GRNBIO11,GRNBIO12,GRNBIO13,GRNBIO14,GRNBIO15,LOGLEN1,LOGLEN2,LOGLEN3,LOGLEN4,LOGLEN5,LOGLEN6,LOGLEN7,LOGLEN8,LOGLEN9,LOGLEN10,LOGLEN11,LOGLEN12,LOGLEN13,LOGLEN14,LOGLEN15,LOGLEN16,LOGLEN17,LOGLEN18,LOGLEN19,LOGLEN20,BOLHT1,BOLHT2,BOLHT3,BOLHT4,BOLHT5,BOLHT6,BOLHT7,BOLHT8,BOLHT9,BOLHT10,BOLHT11,BOLHT12,BOLHT13,BOLHT14,BOLHT15,BOLHT16,BOLHT17,BOLHT18,BOLHT19,BOLHT20,BOLHT21,LOGDIA_1_1,LOGDIA_2_1,LOGDIA_3_1,LOGDIA_4_1,LOGDIA_5_1,LOGDIA_6_1,LOGDIA_7_1,LOGDIA_8_1,LOGDIA_9_1,LOGDIA_10_1,LOGDIA_11_1,LOGDIA_12_1,LOGDIA_13_1,LOGDIA_14_1,LOGDIA_15_1,LOGDIA_16_1,LOGDIA_17_1,LOGDIA_18_1,LOGDIA_19_1,LOGDIA_20_1,LOGDIA_21_1,LOGDIA_1_2,LOGDIA_2_2,LOGDIA_3_2,LOGDIA_4_2,LOGDIA_5_2,LOGDIA_6_2,LOGDIA_7_2,LOGDIA_8_2,LOGDIA_9_2,LOGDIA_10_2,LOGDIA_11_2,LOGDIA_12_2,LOGDIA_13_2,LOGDIA_14_2,LOGDIA_15_2,LOGDIA_16_2,LOGDIA_17_2,LOGDIA_18_2,LOGDIA_19_2,LOGDIA_20_2,LOGDIA_21_2,LOGDIA_1_3,LOGDIA_2_3,LOGDIA_3_3,LOGDIA_4_3,LOGDIA_5_3,LOGDIA_6_3,LOGDIA_7_3,LOGDIA_8_3,LOGDIA_9_3,LOGDIA_10_3,LOGDIA_11_3,LOGDIA_12_3,LOGDIA_13_3,LOGDIA_14_3,LOGDIA_15_3,LOGDIA_16_3,LOGDIA_17_3,LOGDIA_18_3,LOGDIA_19_3,LOGDIA_20_3,LOGDIA_21_3,LOGVOL_1_1,LOGVOL_2_1,LOGVOL_3_1,LOGVOL_4_1,LOGVOL_5_1,LOGVOL_6_1,LOGVOL_7_1,LOGVOL_1_2,LOGVOL_2_2,LOGVOL_3_2,LOGVOL_4_2,LOGVOL_5_2,LOGVOL_6_2,LOGVOL_7_2,LOGVOL_1_3,LOGVOL_2_3,LOGVOL_3_3,LOGVOL_4_3,LOGVOL_5_3,LOGVOL_6_3,LOGVOL_7_3,LOGVOL_1_4,LOGVOL_2_4,LOGVOL_3_4,LOGVOL_4_4,LOGVOL_5_4,LOGVOL_6_4,LOGVOL_7_4,LOGVOL_1_5,LOGVOL_2_5,LOGVOL_3_5,LOGVOL_4_5,LOGVOL_5_5,LOGVOL_6_5,LOGVOL_7_5,LOGVOL_1_6,LOGVOL_2_6,LOGVOL_3_6,LOGVOL_4_6,LOGVOL_5_6,LOGVOL_6_6,LOGVOL_7_6,LOGVOL_1_7,LOGVOL_2_7,LOGVOL_3_7,LOGVOL_4_7,LOGVOL_5_7,LOGVOL_6_7,LOGVOL_7_7,LOGVOL_1_8,LOGVOL_2_8,LOGVOL_3_8,LOGVOL_4_8,LOGVOL_5_8,LOGVOL_6_8,LOGVOL_7_8,LOGVOL_1_9,LOGVOL_2_9,LOGVOL_3_9,LOGVOL_4_9,LOGVOL_5_9,LOGVOL_6_9,LOGVOL_7_9,LOGVOL_1_10,LOGVOL_2_10,LOGVOL_3_10,LOGVOL_4_10,LOGVOL_5_10,LOGVOL_6_10,LOGVOL_7_10,LOGVOL_1_11,LOGVOL_2_11,LOGVOL_3_11,LOGVOL_4_11,LOGVOL_5_11,LOGVOL_6_11,LOGVOL_7_11,LOGVOL_1_12,LOGVOL_2_12,LOGVOL_3_12,LOGVOL_4_12,LOGVOL_5_12,LOGVOL_6_12,LOGVOL_7_12,LOGVOL_1_13,LOGVOL_2_13,LOGVOL_3_13,LOGVOL_4_13,LOGVOL_5_13,LOGVOL_6_13,LOGVOL_7_13,LOGVOL_1_14,LOGVOL_2_14,LOGVOL_3_14,LOGVOL_4_14,LOGVOL_5_14,LOGVOL_6_14,LOGVOL_7_14,LOGVOL_1_15,LOGVOL_2_15,LOGVOL_3_15,LOGVOL_4_15,LOGVOL_5_15,LOGVOL_6_15,LOGVOL_7_15,LOGVOL_1_16,LOGVOL_2_16,LOGVOL_3_16,LOGVOL_4_16,LOGVOL_5_16,LOGVOL_6_16,LOGVOL_7_16,LOGVOL_1_17,LOGVOL_2_17,LOGVOL_3_17,LOGVOL_4_17,LOGVOL_5_17,LOGVOL_6_17,LOGVOL_7_17,LOGVOL_1_18,LOGVOL_2_18,LOGVOL_3_18,LOGVOL_4_18,LOGVOL_5_18,LOGVOL_6_18,LOGVOL_7_18,LOGVOL_1_19,LOGVOL_2_19,LOGVOL_3_19,LOGVOL_4_19,LOGVOL_5_19,LOGVOL_6_19,LOGVOL_7_19,LOGVOL_1_20,LOGVOL_2_20,LOGVOL_3_20,LOGVOL_4_20,LOGVOL_5_20,LOGVOL_6_20,LOGVOL_7_20
d,6,12,01,,202,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLEQDEF R6 Siuslaw Douglas-fir,double,0,F00FW2W202,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,6,12,01,,263,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLEQDEF R6 Siuslaw western hemlock,double,0,F03FW2W263,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,1,16,01,,202,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLEQDEF R1 forest 16 Douglas-fir,double,0,I00FW2W202,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,8,01,01,,131,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLEQDEF R8 forest 01 loblolly,double,0,841CLKE131,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,9,09,01,,371,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLEQDEF R9 forest 09 yellow birch,double,0,900CLKE371,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,10,04,01,,98,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLEQDEF R10 forest 04 Sitka spruce,double,0,A00F32W098,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,6,12,01,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVB_DefaultEq R6 Siuslaw 202,double,0,NVBM240202,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,8,01,01,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVB_DefaultEq R8 forest 01 131,double,0,NVB0230131,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,6,12,01,,202,01,F00FW2W202,18.5,110,F,6,4,1,0,0,0,0,0,0,0,0,C,L,,,,,,,,,,N,,,,VOLUMELIBRARY R6 Flewelling 2-point Douglas-fir,double,0,F00FW2W202,N,77.600000000000009,393,0,70.499999999999986,0,0.59999999999999998,1.3999999999999999,0,0,455,0,7,0,2.0175585542238128,0.69811199999999995,6,5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,17.5,34,50.5,67,83.5,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,14,12,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.745543027529351,15.104538844388573,13.654913745036955,11.936846476886712,9.4810470391397441,6.221354780041958,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,16.274197398390822,14.558561522661938,12.698715892654139,10.108900282302519,6.6684814659258045,4.1479956598298582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,22.399999999999999,0,0,1344,114,0,0,18.399999999999999,0,0,1104,78,0,0,14.800000000000001,0,0,888,39,0,0,9.8000000000000007,0,0,588,20,0,0,5.0999999999999996,0,0,306,7,0,0,1.3999999999999999,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,6,12,01,,263,01,F03FW2W263,14.2,95,F,6,4,1,0,0,0,0,0,0,0,0,C,L,,,,,,,,,,N,,,,VOLUMELIBRARY R6 Flewelling 2-point western hemlock,double,0,F03FW2W263,N,43.700000000000003,200,0,38.599999999999994,0,0.29999999999999999,1.3999999999999999,0,0,240,0,7,0,1.2362751099082723,0.87053904135368765,5,4,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,17.5,34,50.5,65,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,11,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.448021339951596,12.249082996797522,10.675287111366854,8.5879497830571836,6.1487537509012249,4.0460780088902775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.199999999999999,12.939887276262912,11.311721359933438,9.1531591628421367,6.6025194098905571,4.3743068665216098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,13.699999999999999,0,0,876.79999999999995,67,0,0,11.6,0,0,742.39999999999998,39,0,0,8.8000000000000007,0,0,563.20000000000005,16,0,0,4.5,0,0,288,7,0,0,1.3999999999999999,0,0,89.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
